utc,Program:Metering_Roll.__l5124c34c9de650ef,Program:Metering_Roll.__l5124c34cd0c0ad05,Program:Metering_Roll.__l5124c34cd93afeea,Program:Metering_Roll.__l5124c34cdd243ecc,Program:Metering_Roll.__l5124c34cf90ef335,Program:Metering_Roll.__l5124c34cfcc730f7,Program:Metering_Roll.__l66b58c55184e5e16,Program:Metering_Roll.__l66b58c553f4bceda,Program:Metering_Roll.__l66b58c5558fe1ad3
2019-04-12T10:31:53.854213,/-5.0, 25.0, 30000.0, 1150.0, 1.1656994729491998e-06, 0.000649414025247097, -5.0, -1.220703097715159e-06, 30.0/
2019-04-12T10:31:59.052511,/-5.0, 25.0, 30000.0, 1150.0, 1.1656994729491998e-06, 0.0008715820149518549, -5.0, -1.220703097715159e-06, 30.0/
2019-04-12T10:31:59.974564,/-5.0, 25.0, 30000.0, 1150.0, 1.1656994729491998e-06, 0.08922118693590164, -5.0, -1.220703097715159e-06, 30.0/
2019-04-12T10:32:01.335641,/-5.0, 25.0, 30000.0, 1150.0, 1.1656994729491998e-06, 0.09442138671875, -5.0, -1.220703097715159e-06, 30.0/
2019-04-12T10:32:03.054740,/-5.0, 25.0, 30000.0, 1150.0, 1.1656994729491998e-06, -0.02823486179113388, -5.0, -1.220703097715159e-06, 30.0/
2019-04-12T10:32:04.932847,/-5.0, 25.0, 30000.0, 1150.0, 1.1669161494864966e-06, -0.03250732272863388, -5.0, -1.220703097715159e-06, 30.0/
2019-04-12T10:32:07.416989,/-5.0, 25.0, 30000.0, 1150.0, 1.1644827964119031e-06, -0.03580566495656967, -5.0, -1.220703097715159e-06, 30.0/
2019-04-12T10:32:09.935133,/-5.0, 25.0, 30000.0, 1150.0, 1.1644827964119031e-06, -0.08051269501447678, -5.0, -1.220703097715159e-06, 30.0/
2019-04-12T10:32:12.498280,/-5.0, 25.0, 30000.0, 1150.0, 1.1644827964119031e-06, -0.043413084000349045, -5.0, -1.220703097715159e-06, 30.0/
2019-04-12T10:32:15.049426,/-5.0, 25.0, 30000.0, 1150.0, 1.1644827964119031e-06, 0.04316161945462227, -5.0, -1.220703097715159e-06, 30.0/
2019-04-12T10:32:17.649574,/-5.0, 25.0, 30000.0, 1150.0, 1.1644827964119031e-06, -0.03940429538488388, -5.0, -1.220703097715159e-06, 30.0/
2019-04-12T10:32:20.130716,/-5.0, 25.0, 30000.0, 1150.0, 1.1656994729491998e-06, 0.048613280057907104, -5.0, -1.220703097715159e-06, 30.0/
2019-04-12T10:32:22.655861,/-5.0, 25.0, 30000.0, 1150.0, 1.1656994729491998e-06, 0.05174316465854645, -5.0, -1.220703097715159e-06, 30.0/
