utc,Program:Slide_Table.__l5c24ef7400000f83,Program:Slide_Table.__l5c24ef745a963948,Program:Slide_Table.Slide_Table_Jog_Speed,Program:Slide_Table.Slide_Table_Run_Pos,Program:Slide_Table.Slide_Table_test_pos,Program:Slide_Table.Slide_Table_test_pos1,Program:Slide_Table.Slide_Tbl_Line_speed_Ref,Program:Slide_Table.Slide_Tbl_Position_FB_WLDP,Program:Slide_Table.Slide_Tbl_Position_FB_WLGP
2019-04-12T10:31:54.006222,/1150.0, 94360.515625, 0.125, 7.504500389099121, 4.25, 3.8708877563476562, 0.0, 0.0, 0.0/
2019-04-12T10:32:00.490593,/1150.0, 94360.875, 0.125, 7.504500389099121, 4.25, 3.8708877563476562, 0.0, 0.0, 0.0/
2019-04-12T10:32:01.894673,/1150.0, 94361.2109375, 0.125, 7.504500389099121, 4.25, 3.8708877563476562, 0.0, 0.0, 0.0/
2019-04-12T10:32:03.610771,/1150.0, 94361.6640625, 0.125, 7.504500389099121, 4.25, 3.8708877563476562, 0.0, 0.0, 0.0/
2019-04-12T10:32:05.610886,/1150.0, 94362.21875, 0.125, 7.504500389099121, 4.25, 3.8708877563476562, 0.0, 0.0, 0.0/
2019-04-12T10:32:08.213035,/1150.0, 94362.7421875, 0.125, 7.504500389099121, 4.25, 3.8708877563476562, 0.0, 0.0, 0.0/
2019-04-12T10:32:10.769181,/1150.0, 94363.2734375, 0.125, 7.504500389099121, 4.25, 3.8708877563476562, 0.0, 0.0, 0.0/
2019-04-12T10:32:13.374330,/1150.0, 94363.7578125, 0.125, 7.504500389099121, 4.25, 3.8708877563476562, 0.0, 0.0, 0.0/
2019-04-12T10:32:15.898474,/1150.0, 94364.3125, 0.125, 7.504500389099121, 4.25, 3.8708877563476562, 0.0, 0.0, 0.0/
2019-04-12T10:32:18.494623,/1150.0, 94364.7734375, 0.125, 7.504500389099121, 4.25, 3.8708877563476562, 0.0, 0.0, 0.0/
2019-04-12T10:32:20.970764,/1150.0, 94365.296875, 0.125, 7.504500389099121, 4.25, 3.8708877563476562, 0.0, 0.0, 0.0/
2019-04-12T10:32:23.529911,/1150.0, 94365.8359375, 0.125, 7.504500389099121, 4.25, 3.8708877563476562, 0.0, 0.0, 0.0/
