utc,Avg_Steering_Frame_Tension_Total,Avg_Winder_Tens_Fdbk_Total,Line_AccDec_Rate,Line_Accum_length,Line_Auto_PreStop_Length,Line_Auto_Stop_Length_SP,Line_Ramped_speed_FPS,Line_Total_length,Metering_Roll_Line_speed_Ref
2019-04-12T10:31:53.456191,/571.2999877929688, 1153.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 10.5/
2019-04-12T10:31:53.853213,/571.2999877929688, 1153.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:31:54.012222,/571.0, 1155.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 10.5/
2019-04-12T10:31:54.213234,/571.0, 1155.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:31:54.534252,/571.7999877929688, 1150.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:31:54.852271,/570.7999877929688, 1144.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:31:55.339298,/570.7999877929688, 1144.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:31:55.813326,/572.1000366210938, 1145.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:31:56.536367,/570.9000244140625, 1150.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 10.5/
2019-04-12T10:31:57.214406,/570.2999877929688, 1137.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:31:57.738436,/571.6000366210938, 1142.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:31:58.376472,/571.1000366210938, 1146.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:31:59.175518,/569.1000366210938, 1139.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 10.5/
2019-04-12T10:32:00.094570,/566.2000122070312, 1126.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 10.5/
2019-04-12T10:32:01.534653,/566.6000366210938, 1123.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:32:03.250751,/567.2999877929688, 1147.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 10.5/
2019-04-12T10:32:05.133859,/569.6000366210938, 1147.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 10.5/
2019-04-12T10:32:07.650003,/572.0, 1139.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:32:10.132144,/572.1000366210938, 1171.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:32:12.770295,/572.7000122070312, 1156.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:32:15.294440,/571.0, 1152.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:32:17.891588,/569.0, 1145.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:32:20.294726,/567.2999877929688, 1156.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:32:22.852872,/566.9000244140625, 1156.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 10.5/
2019-04-12T10:32:25.410018,/568.7999877929688, 1143.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 10.5/
2019-04-12T10:32:27.930162,/572.4000244140625, 1164.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:32:30.492309,/573.0, 1135.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:32:33.013453,/570.9000244140625, 1143.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:32:35.450593,/566.7000122070312, 1138.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:32:37.929734,/564.7000122070312, 1144.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:32:40.451879,/567.0, 1144.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:32:42.855016,/569.5, 1162.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:32:45.290155,/570.2000122070312, 1149.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 9.750000953674316/
2019-04-12T10:32:47.818300,/570.1000366210938, 1146.0, 0.0, 0.0, 0.0, 30.0, 0.1666666716337204, 0.0, 10.5/
