utc,Unwind_Ramped_speed,Unwind_Ramped_speed_FPS,Unwind_Scaled_FPM,Unwind_spd_FB,Unwind_SpeedLine_FPM,Unwind_SpeedMotor_RPM,Unwind_Tension_Loop_Error,Unwind_Tension_Vernier
2019-04-12T10:31:55.445304,/2.2460906505584717, 0.03743484243750572, 10.555644035339355, 0.03769873082637787, 0.0, 2.880279064178467, 0.0, -1.220703097715159e-06/
2019-04-12T10:32:07.330984,/2.140409469604492, 0.03567349165678024, 9.676006317138672, 0.03455716744065285, 0.0, 2.6402554512023926, 0.0, -1.220703097715159e-06/
2019-04-12T10:32:09.816126,/2.1397016048431396, 0.035661693662405014, 9.676006317138672, 0.03455716744065285, 0.0, 2.760267496109009, 0.0, -1.220703097715159e-06/
2019-04-12T10:32:12.410275,/2.1155080795288086, 0.035258468240499496, 9.676006317138672, 0.03612795099616051, 0.0, 2.6402554512023926, 0.0, -1.220703097715159e-06/
2019-04-12T10:32:14.972421,/2.1678874492645264, 0.035739898681640625, 10.115826606750488, 0.03612795099616051, 0.0, 2.6402554512023926, 0.0, -1.220703097715159e-06/
2019-04-12T10:32:17.530568,/2.1679301261901855, 0.036132168024778366, 10.115826606750488, 0.03612795099616051, 0.0, 2.760267496109009, 0.0, -1.220703097715159e-06/
2019-04-12T10:32:20.052712,/2.197580337524414, 0.036626338958740234, 10.555644035339355, 0.03769873082637787, 0.0, 2.880279064178467, 0.0, -1.220703097715159e-06/
2019-04-12T10:32:22.569856,/2.2218613624572754, 0.03703102096915245, 10.115826606750488, 0.03612795099616051, 0.0, 2.760267496109009, 0.0, -1.220703097715159e-06/
2019-04-12T10:32:25.095000,/2.2226223945617676, 0.03704370558261871, 10.115826606750488, 0.03612795099616051, 0.0, 2.760267496109009, 0.0, -1.220703097715159e-06/
2019-04-12T10:32:27.649146,/2.141295909881592, 0.03568826615810394, 10.115826606750488, 0.03612795099616051, 0.0, 2.6402554512023926, 0.0, -1.220703097715159e-06/
