utc,Program:Metering_Roll.__l66b58c555a963948,Program:Metering_Roll.__l66b58c559de650ef,Program:Metering_Roll.__l66b58c55b5ff5b04,Program:Metering_Roll.__l66b58c55c24a9706,Program:Metering_Roll.__l66b58c55c7c28f94,Program:Metering_Roll.__l66b58c55d0c0ad05,Program:Metering_Roll.__l66b58c55d93afeea,Program:Metering_Roll.__l66b58c55f3d9ad47,Program:Metering_Roll.__l66b58c55fcc730f7
2019-04-12T10:32:42.815014,/0.2815502882003784, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:32:45.212151,/0.2851637005805969, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:32:47.774298,/0.28877711296081543, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:32:50.295442,/0.01618652418255806, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:32:52.732581,/0.013034912757575512, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:32:55.288727,/0.009721435606479645, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:32:57.814872,/0.21312890946865082, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:00.330016,/0.21506653726100922, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:02.853160,/0.21697558462619781, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:05.410306,/0.21881799399852753, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:33:07.857446,/0.22076037526130676, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:10.413592,/0.22266468405723572, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:12.934737,/0.01731005869805813, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:15.372876,/0.013948975130915642, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:18.011027,/0.010844971053302288, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:20.493169,/0.14573107659816742, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:33:22.970311,/0.1459357887506485, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:25.529457,/0.2143571823835373, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:33:28.014599,/0.2855493128299713, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:30.492741,/0.2891055941581726, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:32.974883,/0.018919190391898155, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:35.490027,/0.015715209767222404, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:37.934166,/0.01245410181581974, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:33:40.492313,/0.24506397545337677, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:33:42.897450,/0.21599487960338593, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:33:45.413594,/0.2179705798625946, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:47.971741,/0.21987488865852356, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:50.530887,/0.22175061702728271, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:53.051031,/0.22368822991847992, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:33:55.532173,/0.019228637218475342, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
