utc,Program:Unwind.Unwind_Position_RFJ,Program:Unwind.Unwind_Position_WLDP,Program:Unwind.Unwind_Tension_FB_WLDT,Program:Unwind.Unwind_Tension_FB_WLGT,Program:Unwind.Unwind_Tension_FBJ,Program:Unwind.Unwind_Tension_KPT,Program:Unwind.Unwind_Tension_Loop_Pct_Cntrl,Program:Unwind.Unwind_Tension_RFJ,Program:Unwind.Unwind_Tension_WLDT
2019-04-12T10:33:26.648521,/2252.25, 0.009999999776482582, 0.5, 2.0, 944.0, 1.0, 0.10000000149011612, 944.0, 0.5/
2019-04-12T10:33:29.093661,/2252.25, 0.009999999776482582, 0.5, 2.0, 969.0, 1.0, 0.10000000149011612, 970.0, 0.5/
2019-04-12T10:33:31.569802,/2252.25, 0.009999999776482582, 0.5, 2.0, 753.0, 1.0, 0.10000000149011612, 753.0, 0.5/
2019-04-12T10:33:34.089947,/2252.25, 0.009999999776482582, 0.5, 2.0, 850.0, 1.0, 0.10000000149011612, 850.0, 0.5/
2019-04-12T10:33:36.497084,/2252.25, 0.009999999776482582, 0.5, 2.0, 938.0, 1.0, 0.10000000149011612, 938.0, 0.5/
2019-04-12T10:33:39.089233,/2252.25, 0.009999999776482582, 0.5, 2.0, 980.0, 1.0, 0.10000000149011612, 974.0, 0.5/
2019-04-12T10:33:41.569374,/2252.25, 0.009999999776482582, 0.5, 2.0, 975.0, 1.0, 0.10000000149011612, 956.0, 0.5/
2019-04-12T10:33:44.090519,/2252.25, 0.009999999776482582, 0.5, 2.0, 892.0, 1.0, 0.10000000149011612, 865.0, 0.5/
2019-04-12T10:33:46.651665,/2252.25, 0.009999999776482582, 0.5, 2.0, 869.0, 1.0, 0.10000000149011612, 869.0, 0.5/
2019-04-12T10:33:49.130807,/2252.25, 0.009999999776482582, 0.5, 2.0, 870.0, 1.0, 0.10000000149011612, 870.0, 0.5/
2019-04-12T10:33:51.616949,/2252.25, 0.009999999776482582, 0.5, 2.0, 805.0, 1.0, 0.10000000149011612, 805.0, 0.5/
2019-04-12T10:33:54.214098,/2252.25, 0.009999999776482582, 0.5, 2.0, 713.0, 1.0, 0.10000000149011612, 738.0, 0.5/
2019-04-12T10:33:56.689239,/2252.25, 0.009999999776482582, 0.5, 2.0, 766.0, 1.0, 0.10000000149011612, 785.0, 0.5/
2019-04-12T10:33:59.251386,/2252.25, 0.009999999776482582, 0.5, 2.0, 877.0, 1.0, 0.10000000149011612, 877.0, 0.5/
2019-04-12T10:34:01.734528,/2252.25, 0.009999999776482582, 0.5, 2.0, 1055.0, 1.0, 0.10000000149011612, 1055.0, 0.5/
2019-04-12T10:34:04.253672,/2252.25, 0.009999999776482582, 0.5, 2.0, 968.0, 1.0, 0.10000000149011612, 939.0, 0.5/
2019-04-12T10:34:06.731814,/2252.25, 0.009999999776482582, 0.5, 2.0, 890.0, 1.0, 0.10000000149011612, 910.0, 0.5/
2019-04-12T10:34:09.087948,/2252.25, 0.009999999776482582, 0.5, 2.0, 822.0, 1.0, 0.10000000149011612, 805.0, 0.5/
2019-04-12T10:34:11.689097,/2252.25, 0.009999999776482582, 0.5, 2.0, 868.0, 1.0, 0.10000000149011612, 861.0, 0.5/
2019-04-12T10:34:14.130237,/2252.25, 0.009999999776482582, 0.5, 2.0, 836.0, 1.0, 0.10000000149011612, 836.0, 0.5/
2019-04-12T10:34:16.653381,/2252.25, 0.009999999776482582, 0.5, 2.0, 766.0, 1.0, 0.10000000149011612, 766.0, 0.5/
2019-04-12T10:34:19.167525,/2252.25, 0.009999999776482582, 0.5, 2.0, 923.0, 1.0, 0.10000000149011612, 910.0, 0.5/
2019-04-12T10:34:21.730671,/2252.25, 0.009999999776482582, 0.5, 2.0, 975.0, 1.0, 0.10000000149011612, 968.0, 0.5/
2019-04-12T10:34:24.253816,/2252.25, 0.009999999776482582, 0.5, 2.0, 980.0, 1.0, 0.10000000149011612, 988.0, 0.5/
2019-04-12T10:34:26.772960,/2252.25, 0.009999999776482582, 0.5, 2.0, 973.0, 1.0, 0.10000000149011612, 989.0, 0.5/
2019-04-12T10:34:29.210099,/2252.25, 0.009999999776482582, 0.5, 2.0, 959.0, 1.0, 0.10000000149011612, 959.0, 0.5/
2019-04-12T10:34:31.808248,/2252.25, 0.009999999776482582, 0.5, 2.0, 1002.0, 1.0, 0.10000000149011612, 1002.0, 0.5/
2019-04-12T10:34:34.252388,/2252.25, 0.009999999776482582, 0.5, 2.0, 923.0, 1.0, 0.10000000149011612, 931.0, 0.5/
2019-04-12T10:34:36.688527,/2252.25, 0.009999999776482582, 0.5, 2.0, 772.0, 1.0, 0.10000000149011612, 772.0, 0.5/
2019-04-12T10:34:39.092665,/2252.25, 0.009999999776482582, 0.5, 2.0, 805.0, 1.0, 0.10000000149011612, 808.0, 0.5/
2019-04-12T10:34:41.650811,/2252.25, 0.009999999776482582, 0.5, 2.0, 889.0, 1.0, 0.10000000149011612, 889.0, 0.5/
2019-04-12T10:34:44.172955,/2252.25, 0.009999999776482582, 0.5, 2.0, 1049.0, 1.0, 0.10000000149011612, 1071.0, 0.5/
2019-04-12T10:34:46.690099,/2252.25, 0.009999999776482582, 0.5, 2.0, 931.0, 1.0, 0.10000000149011612, 904.0, 0.5/
2019-04-12T10:34:49.252246,/2252.25, 0.009999999776482582, 0.5, 2.0, 822.0, 1.0, 0.10000000149011612, 822.0, 0.5/
2019-04-12T10:34:51.768390,/2252.25, 0.009999999776482582, 0.5, 2.0, 800.0, 1.0, 0.10000000149011612, 786.0, 0.5/
2019-04-12T10:34:54.290534,/2252.25, 0.009999999776482582, 0.5, 2.0, 788.0, 1.0, 0.10000000149011612, 788.0, 0.5/
2019-04-12T10:34:56.775676,/2252.25, 0.009999999776482582, 0.5, 2.0, 797.0, 1.0, 0.10000000149011612, 797.0, 0.5/
2019-04-12T10:34:59.366824,/2252.25, 0.009999999776482582, 0.5, 2.0, 692.0, 1.0, 0.10000000149011612, 715.0, 0.5/
2019-04-12T10:35:01.851966,/2252.25, 0.009999999776482582, 0.5, 2.0, 926.0, 1.0, 0.10000000149011612, 893.0, 0.5/
2019-04-12T10:35:04.406112,/2252.25, 0.009999999776482582, 0.5, 2.0, 993.0, 1.0, 0.10000000149011612, 993.0, 0.5/
2019-04-12T10:35:06.886254,/2252.25, 0.009999999776482582, 0.5, 2.0, 898.0, 1.0, 0.10000000149011612, 903.0, 0.5/
2019-04-12T10:35:09.411399,/2252.25, 0.009999999776482582, 0.5, 2.0, 759.0, 1.0, 0.10000000149011612, 789.0, 0.5/
2019-04-12T10:35:12.007547,/2252.25, 0.009999999776482582, 0.5, 2.0, 722.0, 1.0, 0.10000000149011612, 731.0, 0.5/
2019-04-12T10:35:14.533692,/2252.25, 0.009999999776482582, 0.5, 2.0, 864.0, 1.0, 0.10000000149011612, 864.0, 0.5/
2019-04-12T10:35:17.006833,/2252.25, 0.009999999776482582, 0.5, 2.0, 1015.0, 1.0, 0.10000000149011612, 1015.0, 0.5/
2019-04-12T10:35:19.491975,/2252.25, 0.009999999776482582, 0.5, 2.0, 877.0, 1.0, 0.10000000149011612, 843.0, 0.5/
2019-04-12T10:35:21.967117,/2252.25, 0.009999999776482582, 0.5, 2.0, 765.0, 1.0, 0.10000000149011612, 755.0, 0.5/
2019-04-12T10:35:24.570266,/2252.25, 0.009999999776482582, 0.5, 2.0, 743.0, 1.0, 0.10000000149011612, 774.0, 0.5/
2019-04-12T10:35:27.130412,/2252.25, 0.009999999776482582, 0.5, 2.0, 864.0, 1.0, 0.10000000149011612, 864.0, 0.5/
2019-04-12T10:35:29.688558,/2252.25, 0.009999999776482582, 0.5, 2.0, 932.0, 1.0, 0.10000000149011612, 932.0, 0.5/
