utc,Program:Slide_Table.ST_Hi_LIM,Program:Slide_Table.ST_Lo_LIM,Program:Unwind.__l188bd99400000f83,Program:Unwind.__l3476a1aa16ce4f90,Program:Unwind.__l3476a1aa57a32631,Program:Unwind.__l3476a1aa6f52829f,Program:Unwind.__l3476a1aac24a9706,Program:Unwind.__l3476a1aadd243ecc,Program:Unwind.__l3476a1aafcc730f7
2019-04-12T10:33:25.054430,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:33:27.533572,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:33:29.973711,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:33:32.492855,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:33:34.927995,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:33:37.369134,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:33:39.930281,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:33:42.411423,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:33:44.892564,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:33:47.413709,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:33:49.972855,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:33:52.493999,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:33:55.054146,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:33:57.574290,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:34:00.051432,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:34:02.610578,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:34:05.130722,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:34:07.568861,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:34:10.009001,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:34:12.569147,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:34:15.051289,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:34:17.454427,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:34:20.127580,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:34:22.652724,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:34:25.130866,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:34:27.611008,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:34:30.133152,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:34:32.610294,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:34:35.087435,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:34:37.530575,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:34:39.935713,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:34:42.452857,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:34:45.050005,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:34:47.534147,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.306309700012207/
2019-04-12T10:34:50.050291,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:34:52.612438,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:34:55.135582,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:34:57.651726,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:35:00.173870,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:35:02.651012,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.648459434509277/
2019-04-12T10:35:05.171156,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:35:07.769305,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:35:10.293449,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:35:12.890598,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:35:15.411742,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:35:17.889884,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:35:20.369025,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:35:22.931172,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:35:25.452316,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:35:28.048465,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:35:30.608611,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:35:33.091753,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:35:35.612897,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:35:38.167043,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:35:40.655186,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.306309700012207/
2019-04-12T10:35:43.052323,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:35:45.568467,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:35:48.128613,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:35:50.731762,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:35:53.247906,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:35:55.807052,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:35:58.371199,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:00.848341,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:36:03.406487,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:05.847627,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:36:08.291766,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:36:10.807910,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:13.329055,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:15.891201,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.306309700012207/
2019-04-12T10:36:18.490350,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:20.927489,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:23.489636,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.306309700012207/
2019-04-12T10:36:26.048782,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:28.610929,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:31.094071,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:36:33.686219,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:36.169361,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:38.568498,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:41.048640,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:43.487780,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:46.088928,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:48.650075,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:51.251224,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:36:53.851372,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.306309700012207/
2019-04-12T10:36:56.328514,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:36:58.967665,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:37:01.449807,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:37:03.888946,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:37:06.405090,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:37:08.924234,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:37:11.408377,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:37:13.887518,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:37:16.445665,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:37:19.005811,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:37:21.569958,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:37:24.248111,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:37:26.807257,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:37:29.326401,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:37:31.804543,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:37:34.292685,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:37:36.768827,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:37:39.169964,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:37:41.804115,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
