utc,Program:Unwind_Ratio_Detector.__lfc3536d43f4bceda,Program:Unwind_Ratio_Detector.DiamPresetVal_in,Program:Unwind_Ratio_Detector.PresetIncDecDelta,Program:Unwind_Ratio_Detector.PresetIncDecRate_x3,Program:Unwind_Ratio_Detector.PresetIncDecVal,Program:Unwind_Ratio_Detector.PresetVal,Program:Unwind_Ratio_Detector.SpeedMotor_RPM,Program:Unwind_Ratio_Detector.Sy_ScanTime_Sec
2019-04-12T10:34:05.253729,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:07.690868,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:10.173010,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:12.693155,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:15.173296,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:17.610436,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:20.250587,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:22.767731,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:25.326877,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:27.770017,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:30.253159,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:32.771303,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:35.210442,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:37.608580,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:40.090722,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:42.607866,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:45.173012,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:47.689156,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:50.173298,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:52.766447,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:55.288591,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:57.807735,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:00.327879,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:02.776019,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:05.328165,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:07.891312,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:10.450458,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:13.013605,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:15.529749,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:18.011891,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:20.487032,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:23.047179,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:25.608325,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:28.171472,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:30.731618,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:33.206760,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:35.726904,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:38.289050,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:40.814195,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:43.249334,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:45.732476,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:48.251620,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:50.887771,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:53.448917,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:55.971062,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:58.454204,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:00.971348,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:03.565496,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:05.969634,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:08.406773,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:10.929917,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:13.454062,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:16.045210,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:18.646359,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:21.091499,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:23.645645,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:26.171789,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:28.771938,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:31.290082,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:33.809226,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:36.251366,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:38.767510,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:41.127645,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:43.605786,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:46.211935,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:48.805084,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:51.406232,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:54.006381,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:56.453521,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:59.050670,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:01.533812,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:04.044955,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:06.565099,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:09.047241,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:11.490381,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:14.087530,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:16.568672,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:19.129818,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:21.770969,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:24.371118,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:26.890262,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:29.448408,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:31.965552,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:34.524699,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:36.887834,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:39.369976,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:41.926122,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:44.404264,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:46.968410,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:49.370548,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:51.923694,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:54.289829,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:56.807973,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:59.366120,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:01.884264,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:04.329403,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:06.806545,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:09.246685,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:11.843833,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:14.406980,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:16.967126,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:19.369264,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:21.925410,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:24.487556,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:27.126707,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:29.408838,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:31.927982,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:34.365121,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:36.923268,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:39.568419,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:42.007558,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:44.485700,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:47.005844,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:49.605993,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:52.088135,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:54.648281,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:57.207428,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:59.768574,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:02.245716,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:04.806863,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:07.286004,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:09.884153,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:12.447300,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:14.928441,/1400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0/
