utc,Program:Winder.Winder_Position_KPP,Program:Winder.Winder_Position_Loop_Pct_Cntrl,Program:Winder.Winder_Position_WLDP,Program:Winder.Winder_Tension_FB_WLDT,Program:Winder.Winder_Tension_FB_WLGT,Program:Winder.Winder_Tension_KPT,Program:Winder.Winder_Tension_Loop_Pct_Cntrl,Program:Winder.Winder_Tension_WLDT,Program:Winder_Ratio_Detector.__la995ced600000f83
2019-04-12T10:31:55.210291,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:07.217978,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:09.771124,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:12.373273,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:14.935419,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:17.493566,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:20.011710,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:22.498852,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:25.091000,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:27.575142,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:30.094286,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:32.656433,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:35.053570,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:37.537712,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:40.048856,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:42.531998,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:44.890133,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:47.372275,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:49.931421,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:52.450565,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:54.970709,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:32:57.531856,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:33:00.014998,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:33:02.570144,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:33:05.093288,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:33:07.614432,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:33:10.089574,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:33:12.611718,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:33:15.094860,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:33:17.697009,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
2019-04-12T10:33:20.212153,/3.0, 0.07500000298023224, 0.009999999776482582, 0.5, 2.0, 1.0, 0.10000000149011612, 0.20000000298023224, 1150.0/
