utc,Program:Line_Speed.Unwind_Remaining_Footage,Program:Line_Speed.Unwind_Web_Area,Program:Line_Speed.web_thickness,Program:Metering_Roll.__l5124c34c16ce4f90,Program:Metering_Roll.__l5124c34c49c86d5c,Program:Metering_Roll.__l5124c34c57a32631,Program:Metering_Roll.__l5124c34c58fe1ad3,Program:Metering_Roll.__l5124c34c5a963948,Program:Metering_Roll.__l5124c34c8d689d49
2019-04-12T10:33:06.374361,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:33:08.853503,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:33:11.411649,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16250000894069672/
2019-04-12T10:33:13.851789,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16875000298023224/
2019-04-12T10:33:16.333931,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16875000298023224/
2019-04-12T10:33:18.971082,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16250000894069672/
2019-04-12T10:33:21.411221,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16250000894069672/
2019-04-12T10:33:23.929365,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:33:26.488512,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16250000894069672/
2019-04-12T10:33:28.974654,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:33:31.449796,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1717718243598938, 0.16875000298023224/
2019-04-12T10:33:33.930938,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:33:36.335075,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16250000894069672/
2019-04-12T10:33:38.929223,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:33:41.410365,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16875000298023224/
2019-04-12T10:33:43.930509,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:33:46.416652,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16250000894069672/
2019-04-12T10:33:49.007800,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16875000298023224/
2019-04-12T10:33:51.490942,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16250000894069672/
2019-04-12T10:33:54.054088,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:33:56.534230,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16250000894069672/
2019-04-12T10:33:59.091377,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16875000298023224/
