utc,Unwind_JogFwd_Reference,Unwind_JogRev_Reference,Unwind_KPP_Array,Unwind_KPS_Array,Unwind_Line_speed_Ref,Unwind_Norm_AccDec_Rate,Unwind_Position_Loop_Error,Unwind_Position_Vernier,Unwind_RadiusCalc_ft
2019-04-12T10:31:55.461305,/30.0, -30.0, 5.5, 60.0, 9.867743492126465, 30000.0, 4.453857421875, 0.008064697496592999, 58.33333206176758/
2019-04-12T10:32:12.213264,/30.0, -30.0, 5.5, 60.0, 9.867743492126465, 30000.0, 4.453857421875, 0.004855957347899675, 58.33333206176758/
2019-04-12T10:32:14.734408,/30.0, -30.0, 5.5, 60.0, 9.867743492126465, 30000.0, -0.2802734375, 0.13940881192684174, 58.33333206176758/
2019-04-12T10:32:17.291554,/30.0, -30.0, 5.5, 60.0, 10.087026596069336, 30000.0, -0.2802734375, 0.13960877060890198, 58.33333206176758/
2019-04-12T10:32:19.814698,/30.0, -30.0, 5.5, 60.0, 10.087026596069336, 30000.0, -5.017578125, 0.277675062417984, 58.33333206176758/
2019-04-12T10:32:22.291840,/30.0, -30.0, 5.5, 60.0, 10.087026596069336, 30000.0, -5.017578125, 0.2813408374786377, 58.33333206176758/
2019-04-12T10:32:24.850986,/30.0, -30.0, 5.5, 60.0, 10.087026596069336, 30000.0, -5.017578125, 0.2849542200565338, 58.33333206176758/
2019-04-12T10:32:27.372131,/30.0, -30.0, 5.5, 60.0, 9.867743492126465, 30000.0, 4.4697265625, 0.014610718004405499, 58.33333206176758/
2019-04-12T10:32:29.852272,/30.0, -30.0, 5.5, 60.0, 9.867743492126465, 30000.0, 4.453857421875, 0.012306518852710724, 58.33333206176758/
2019-04-12T10:32:32.454421,/30.0, -30.0, 5.5, 60.0, 9.867743492126465, 30000.0, 4.453857421875, 0.009250122122466564, 58.33333206176758/
2019-04-12T10:32:34.852558,/30.0, -30.0, 5.5, 60.0, 9.867743492126465, 30000.0, -3.8193359375, 0.4677048325538635, 58.33333206176758/
2019-04-12T10:32:37.294698,/30.0, -30.0, 5.5, 60.0, 10.087026596069336, 30000.0, -0.2802734375, 0.1421319544315338, 58.33333206176758/
2019-04-12T10:32:39.853844,/30.0, -30.0, 5.5, 60.0, 9.867743492126465, 30000.0, -0.2802734375, 0.14233191311359406, 58.33333206176758/
2019-04-12T10:32:42.329986,/30.0, -30.0, 5.5, 60.0, 10.087026596069336, 30000.0, -5.017578125, 0.2809504568576813, 58.33333206176758/
2019-04-12T10:32:44.729123,/30.0, -30.0, 5.5, 60.0, 10.087026596069336, 30000.0, -5.017578125, 0.2845114767551422, 58.33333206176758/
2019-04-12T10:32:47.212265,/30.0, -30.0, 5.5, 60.0, 10.087026596069336, 30000.0, -5.017578125, 0.2881772518157959, 58.33333206176758/
2019-04-12T10:32:49.772412,/30.0, -30.0, 5.5, 60.0, 10.087026596069336, 30000.0, 4.453857421875, 0.01661975122988224, 58.33333206176758/
2019-04-12T10:32:52.330558,/30.0, -30.0, 5.5, 60.0, 9.867743492126465, 30000.0, 4.453857421875, 0.013468139804899693, 58.33333206176758/
2019-04-12T10:32:54.810700,/30.0, -30.0, 5.5, 60.0, 9.867743492126465, 30000.0, 4.453857421875, 0.01031176745891571, 58.33333206176758/
2019-04-12T10:32:57.329844,/30.0, -30.0, 5.5, 60.0, 10.087026596069336, 30000.0, -2.64892578125, 0.21283850073814392, 58.33333206176758/
2019-04-12T10:32:59.857989,/30.0, -30.0, 5.5, 60.0, 10.087026596069336, 30000.0, -2.64892578125, 0.21475231647491455, 58.33333206176758/
2019-04-12T10:33:02.410135,/30.0, -30.0, 5.5, 60.0, 10.087026596069336, 30000.0, -2.64892578125, 0.2166851907968521, 58.33333206176758/
2019-04-12T10:33:04.933279,/30.0, -30.0, 5.5, 60.0, 10.087026596069336, 30000.0, -2.64892578125, 0.2185942381620407, 58.33333206176758/
