utc,Program:Metering_Roll.__l823aab2800000f83,Program:Metering_Roll.__l859efabd00000f83,Program:Metering_Roll.__le9c9537000000f83,Program:Metering_Roll.ABS_Metering_ServoOutput,Program:Metering_Roll.Metering_Roll_Circumference_FT,Program:Metering_Roll.Metering_Roll_Conv_Constant,Program:Metering_Roll.Metering_Roll_Counts_Turn,Program:Metering_Roll.Metering_Roll_GR
2019-04-12T10:31:53.868214,/1400.0, 0.0, 0.16250000894069672, 0.03296159952878952, 1.8273597955703735, 1094.4752197265625, 2000.0, 1.0/
2019-04-12T10:31:58.490479,/1400.0, 0.0, 0.17499999701976776, 0.00427279993891716, 1.8273597955703735, 1094.4752197265625, 2000.0, 1.0/
2019-04-12T10:31:59.330527,/1400.0, 0.0, 0.16250000894069672, 0.07141679525375366, 1.8273597955703735, 1094.4752197265625, 2000.0, 1.0/
2019-04-12T10:32:00.330584,/1400.0, 0.0, 0.16250000894069672, 0.05768279731273651, 1.8273597955703735, 1094.4752197265625, 2000.0, 1.0/
2019-04-12T10:32:01.730664,/1400.0, 0.0, 0.17499999701976776, 0.01709119975566864, 1.8273597955703735, 1094.4752197265625, 2000.0, 1.0/
2019-04-12T10:32:03.450762,/1400.0, 0.0, 0.16250000894069672, 0.03082519955933094, 1.8273597955703735, 1094.4752197265625, 2000.0, 1.0/
2019-04-12T10:32:05.415875,/1400.0, 0.0, 0.17499999701976776, 0.02838359959423542, 1.8273597955703735, 1094.4752197265625, 2000.0, 1.0/
2019-04-12T10:32:07.970021,/1400.0, 0.0, 0.16250000894069672, 0.0167859997600317, 1.8273597955703735, 1094.4752197265625, 2000.0, 1.0/
2019-04-12T10:32:10.533167,/1400.0, 0.0, 0.16250000894069672, 0.09491720050573349, 1.8273597955703735, 1094.4752197265625, 2000.0, 1.0/
2019-04-12T10:32:13.136316,/1400.0, 0.0, 0.16250000894069672, 0.03326679766178131, 1.8273597955703735, 1094.4752197265625, 2000.0, 1.0/
2019-04-12T10:32:15.654460,/1400.0, 0.0, 0.16250000894069672, 0.03174079954624176, 1.8273597955703735, 1094.4752197265625, 2000.0, 1.0/
2019-04-12T10:32:18.215607,/1400.0, 0.0, 0.16250000894069672, 0.11078760027885437, 1.8273597955703735, 1094.4752197265625, 2000.0, 1.0/
2019-04-12T10:32:20.691748,/1400.0, 0.0, 0.16250000894069672, 0.03814999759197235, 1.8273597955703735, 1094.4752197265625, 2000.0, 1.0/
2019-04-12T10:32:23.250895,/1400.0, 0.0, 0.16250000894069672, 0.015259999781847, 1.8273597955703735, 1094.4752197265625, 2000.0, 1.0/
