utc,Program:Unwind_Ratio_Detector.UW_Preset2Val_in,Program:Unwind_Ratio_Detector.UW_Preset3Val_in,Program:Unwind_Ratio_Detector.UW_PresetIncDecRate_inSec,Program:Unwind_Ratio_Detector.UW_RadiusCalc_ft,Program:Unwind_Ratio_Detector.UW_SpeedLine_FPM,Program:Unwind_Ratio_Detector.UW_SpeedMotor_RPM,Program:Winder.__l0e568aea16ce4f90,Program:Winder.__l0e568aea2fbad0ab,Program:Winder.__l0e568aeadd243ecc
2019-04-12T10:31:54.799268,/0.0, 0.0, 0.0, 58.33333206176758, 10.087026596069336, 2.760267496109009, 1.2491228580474854, 20.0, 40.0/
2019-04-12T10:32:04.650831,/0.0, 0.0, 0.0, 58.33333206176758, 10.087026596069336, 2.760267496109009, 1.2526315450668335, 20.0, 40.0/
2019-04-12T10:32:06.932962,/0.0, 0.0, 0.0, 58.33333206176758, 10.087026596069336, 2.760267496109009, 1.2526315450668335, 20.0, 40.0/
2019-04-12T10:32:09.498108,/0.0, 0.0, 0.0, 58.33333206176758, 9.867743492126465, 2.760267496109009, 1.2526315450668335, 20.0, 40.0/
2019-04-12T10:32:12.018252,/0.0, 0.0, 0.0, 58.33333206176758, 9.867743492126465, 2.760267496109009, 1.2526315450668335, 20.0, 40.0/
2019-04-12T10:32:14.652403,/0.0, 0.0, 0.0, 58.33333206176758, 9.867743492126465, 2.880279064178467, 1.2456140518188477, 20.0, 40.0/
2019-04-12T10:32:17.209549,/0.0, 0.0, 0.0, 58.33333206176758, 10.087026596069336, 2.760267496109009, 1.2508771419525146, 20.0, 40.0/
2019-04-12T10:32:19.696692,/0.0, 0.0, 0.0, 58.33333206176758, 10.087026596069336, 2.760267496109009, 1.2456140518188477, 20.0, 40.0/
2019-04-12T10:32:22.209835,/0.0, 0.0, 0.0, 58.33333206176758, 9.867743492126465, 2.880279064178467, 1.2491228580474854, 20.0, 40.0/
2019-04-12T10:32:24.694977,/0.0, 0.0, 0.0, 58.33333206176758, 10.087026596069336, 2.880279064178467, 1.2491228580474854, 20.0, 40.0/
2019-04-12T10:32:27.249124,/0.0, 0.0, 0.0, 58.33333206176758, 10.087026596069336, 2.880279064178467, 1.2526315450668335, 20.0, 40.0/
2019-04-12T10:32:29.692263,/0.0, 0.0, 0.0, 58.33333206176758, 9.867743492126465, 2.6402554512023926, 1.2508771419525146, 20.0, 40.0/
2019-04-12T10:32:32.298412,/0.0, 0.0, 0.0, 58.33333206176758, 9.867743492126465, 2.6402554512023926, 1.2508771419525146, 20.0, 40.0/
2019-04-12T10:32:34.729551,/0.0, 0.0, 0.0, 58.33333206176758, 10.087026596069336, 2.760267496109009, 1.2491228580474854, 20.0, 40.0/
2019-04-12T10:32:37.170691,/0.0, 0.0, 0.0, 58.33333206176758, 10.087026596069336, 2.760267496109009, 1.2473684549331665, 20.0, 40.0/
2019-04-12T10:32:39.733838,/0.0, 0.0, 0.0, 58.33333206176758, 9.867743492126465, 2.760267496109009, 1.2508771419525146, 20.0, 40.0/
2019-04-12T10:32:42.214980,/0.0, 0.0, 0.0, 58.33333206176758, 10.087026596069336, 2.760267496109009, 1.2508771419525146, 20.0, 40.0/
2019-04-12T10:32:44.614117,/0.0, 0.0, 0.0, 58.33333206176758, 9.867743492126465, 2.880279064178467, 1.2491228580474854, 20.0, 40.0/
2019-04-12T10:32:47.089258,/0.0, 0.0, 0.0, 58.33333206176758, 10.306309700012207, 2.880279064178467, 1.2491228580474854, 20.0, 40.0/
2019-04-12T10:32:49.649405,/0.0, 0.0, 0.0, 58.33333206176758, 9.867743492126465, 2.760267496109009, 1.2526315450668335, 20.0, 40.0/
