utc,Program:Unwind_Ratio_Detector.Unwind_Dia_Array,Program:Unwind_Ratio_Detector.UW_BuildUpRatio,Program:Unwind_Ratio_Detector.UW_BuildUpRatioRec,Program:Unwind_Ratio_Detector.UW_CalcEnblThresh_FPM,Program:Unwind_Ratio_Detector.UW_CalcUpdate_Rev,Program:Unwind_Ratio_Detector.UW_Constant_RPMperFPM,Program:Unwind_Ratio_Detector.UW_DiamCalc_in,Program:Unwind_Ratio_Detector.UW_DiamFR_in
2019-04-12T10:31:54.608257,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:02.211691,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:03.776781,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:05.975907,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:08.570055,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:11.130202,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:13.730350,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:16.249494,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:18.810641,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:21.331785,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:23.854929,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:26.409075,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:28.894218,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:31.458364,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:33.931506,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:36.298641,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:38.855787,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:41.297927,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:43.849073,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:46.255211,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:48.812357,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:51.330501,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:53.810643,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:56.329787,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:32:58.853931,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:33:01.450080,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:33:03.890219,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:33:06.489368,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:33:08.972510,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:33:11.453652,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:33:13.974796,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
2019-04-12T10:33:16.374933,/300.0, 4.666666507720947, 0.2142857164144516, 30.0, 2.0, 0.01273233350366354, 1400.0, 3000.0/
