utc,Program:Winder_Ratio_Detector.W_CalcUpdate_Rev,Program:Winder_Ratio_Detector.W_Constant_RPMperFPM,Program:Winder_Ratio_Detector.W_DiamCalc_in,Program:Winder_Ratio_Detector.W_DiamFR_in,Program:Winder_Ratio_Detector.W_DiamMeas_in,Program:Winder_Ratio_Detector.W_DiamMeasInput,Program:Winder_Ratio_Detector.W_DiamMeasMax_DC,Program:Winder_Ratio_Detector.W_DiamMeasMax_in
2019-04-12T10:33:36.015057,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:33:38.609205,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:33:41.091347,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:33:43.568489,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:33:46.094633,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:33:48.653780,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:33:51.171924,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:33:53.734070,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:33:56.207212,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:33:58.652351,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:01.208498,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:03.691640,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:06.207784,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:08.609921,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:11.168067,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:13.650209,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:16.128351,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:18.651495,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:21.246644,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:23.732786,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:26.287932,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:28.730072,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:31.292218,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:33.770360,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:36.210500,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:38.647639,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:41.129781,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:43.652925,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:46.210072,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:48.768218,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:51.213358,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:53.768504,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:56.206643,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:34:58.772790,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:01.253932,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:03.773076,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:06.328222,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:08.890369,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:11.449515,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:14.011662,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:16.527806,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:18.970945,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:21.448087,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:24.013234,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:26.609382,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:29.172529,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:31.689673,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:34.172815,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:36.726961,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:39.286107,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:41.732247,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
