utc,Program:Metering_Roll.Unwind_Accel_comp,Program:Metering_Roll.Unwind_Decel_comp,Program:Metering_Roll.Unwind_Test_step_PCT,Program:Metering_Roll.Winder_Accel_comp,Program:Metering_Roll.Winder_Decel_comp,Program:Metering_Roll.Winder_Test_step_PCT,Program:Slide_Table.__l1e560c2ef90ef335,Program:Slide_Table.__l561eb9f75a963948,Program:Slide_Table.__l561eb9f78d689d49
2019-04-12T10:33:57.093262,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:33:59.649409,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:02.170553,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:04.691697,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:07.167839,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:09.610978,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:12.130122,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:14.529260,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:17.012402,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:19.569548,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:22.132694,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:24.650839,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:27.170983,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:29.690127,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:32.210271,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:34.653411,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:37.093550,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:39.528689,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:42.087836,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:44.533976,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:47.170127,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:49.613266,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:52.207415,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:54.727559,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:57.212701,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:59.768847,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:02.212987,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:04.807135,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:07.330280,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:09.886426,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:12.451573,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:15.014719,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:17.452859,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:19.930000,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:22.373140,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:24.973289,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:27.569437,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:30.091582,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:32.607725,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:35.168872,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:37.653014,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:40.175158,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:42.647300,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:45.128442,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:47.768593,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:50.292737,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:52.808881,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:55.412030,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:57.892172,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:00.409316,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:02.968462,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:05.411602,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:07.845741,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:10.410888,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:12.890029,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:15.486178,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:18.049325,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:20.566469,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:23.046610,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:25.571755,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:28.126901,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:30.688047,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:33.249194,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:35.766338,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:38.245480,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:40.609615,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:43.086757,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:45.649903,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:48.254052,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:50.849201,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:53.444349,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:55.887489,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:36:58.530640,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:01.010782,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:03.487923,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:05.967065,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:08.487209,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:10.964351,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:13.485495,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:15.965637,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:18.488781,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:21.092930,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:23.725081,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:26.406234,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:28.846374,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:31.325516,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:33.885662,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:36.363804,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:38.804944,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:41.367090,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:43.850232,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:46.409378,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:48.845518,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:51.372662,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:53.726797,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:56.246941,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:37:58.730083,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:01.290230,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:03.770371,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:06.287515,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:08.692653,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:11.249799,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:13.809946,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:16.409094,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:18.804231,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:21.248371,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:23.883522,/7.5, -5.0, 0.0, 7.5, -5.0, 0.0, 0.0, 0.0, 0.0/
