utc,Program:Winder_Ratio_Detector.W_DiamMeasMin_in,Program:Winder_Ratio_Detector.W_DiamMinEC_in,Program:Winder_Ratio_Detector.W_DiamRate_inRev,Program:Winder_Ratio_Detector.W_GearRatio,Program:Winder_Ratio_Detector.W_Preset1Val_in,Program:Winder_Ratio_Detector.W_Preset2Val_in,Program:Winder_Ratio_Detector.W_Preset3Val_in,Program:Winder_Ratio_Detector.W_PresetIncDecRate_inSec
2019-04-12T10:34:18.134466,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:20.730614,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:23.251759,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:25.807905,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:28.256045,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:30.848193,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:33.328335,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:35.767474,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:38.173612,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:40.687756,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:43.128895,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:45.689042,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:48.251188,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:50.688328,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:53.288477,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:55.735616,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:34:58.328765,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:00.846909,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:03.330051,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:05.853195,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:08.448344,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:10.975488,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:35:13.528634,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
