utc,Program:Winder_Ratio_Detector.W_SpeedLine_FPM,Program:Winder_Ratio_Detector.W_SpeedMotor_RPM,Program:Winder_Ratio_Detector.WDR_DiamPresetVal_in,Program:Winder_Ratio_Detector.Winder_Dia_Array,Slide_Table_Fwd_Pos,Slide_Tbl_Position_Setpoint,Slide_Tbl_Rachet_Limit,Slide_Tbl_Ramped_speed_IPS,Store_Steering_Frame_Tension_Total
2019-04-12T10:33:35.371020,/9.867743492126465, 3.2229695320129395, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 574.0/
2019-04-12T10:33:37.857162,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 574.0/
2019-04-12T10:33:40.369306,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 574.0/
2019-04-12T10:33:42.808445,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 562.0/
2019-04-12T10:33:45.294587,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 562.0/
2019-04-12T10:33:47.893736,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 562.0/
2019-04-12T10:33:50.411880,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 562.0/
2019-04-12T10:33:52.932024,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 579.0/
2019-04-12T10:33:55.490171,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 579.0/
2019-04-12T10:33:57.973313,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 579.0/
2019-04-12T10:34:00.532459,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 579.0/
2019-04-12T10:34:03.051603,/10.087026596069336, 3.3987674713134766, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 579.0/
2019-04-12T10:34:05.569747,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 568.0/
2019-04-12T10:34:07.968884,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 568.0/
2019-04-12T10:34:10.451026,/9.867743492126465, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 568.0/
2019-04-12T10:34:13.007173,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 568.0/
2019-04-12T10:34:15.452312,/10.087026596069336, 3.3987674713134766, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 570.0/
2019-04-12T10:34:17.932454,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 570.0/
2019-04-12T10:34:20.533603,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 570.0/
2019-04-12T10:34:23.091749,/9.867743492126465, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 570.0/
2019-04-12T10:34:25.609893,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 570.0/
2019-04-12T10:34:28.054033,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 569.0/
2019-04-12T10:34:30.573177,/9.867743492126465, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 569.0/
2019-04-12T10:34:33.053319,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 569.0/
2019-04-12T10:34:35.569463,/10.087026596069336, 3.3987674713134766, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 569.0/
2019-04-12T10:34:37.890596,/10.087026596069336, 3.3987674713134766, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 565.0/
2019-04-12T10:34:40.372738,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 565.0/
2019-04-12T10:34:42.855880,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 565.0/
2019-04-12T10:34:45.411026,/10.087026596069336, 3.3987674713134766, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 565.0/
2019-04-12T10:34:48.050177,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 565.0/
2019-04-12T10:34:50.488316,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 581.0/
2019-04-12T10:34:53.047463,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 581.0/
2019-04-12T10:34:55.570607,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 581.0/
2019-04-12T10:34:58.090751,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 581.0/
2019-04-12T10:35:00.613895,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 567.0/
2019-04-12T10:35:03.089037,/9.648459434509277, 3.2229695320129395, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 567.0/
2019-04-12T10:35:05.611181,/10.087026596069336, 3.3987674713134766, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 567.0/
2019-04-12T10:35:08.206330,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 567.0/
2019-04-12T10:35:10.810479,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 582.0/
2019-04-12T10:35:13.328623,/9.867743492126465, 3.2229695320129395, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 582.0/
2019-04-12T10:35:15.854767,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 582.0/
2019-04-12T10:35:18.286906,/10.306309700012207, 3.3987674713134766, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 582.0/
2019-04-12T10:35:20.735046,/10.306309700012207, 3.3987674713134766, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 582.0/
2019-04-12T10:35:23.375197,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 567.0/
2019-04-12T10:35:25.890341,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 567.0/
2019-04-12T10:35:28.487490,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 567.0/
2019-04-12T10:35:31.046636,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 567.0/
2019-04-12T10:35:33.489776,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 575.0/
